"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US10516","ZCTA5 10516","140225","17099",
"860Z200US10517","ZCTA5 10517","117009","34122",
"860Z200US10518","ZCTA5 10518","250,000+","***",
"860Z200US10519","ZCTA5 10519","-","**",
"860Z200US10520","ZCTA5 10520","142791","23041",
"860Z200US10522","ZCTA5 10522","165417","40680",
"860Z200US10523","ZCTA5 10523","118438","15807",
"860Z200US10524","ZCTA5 10524","146250","27582",
"860Z200US10526","ZCTA5 10526","250,000+","***",
"860Z200US10527","ZCTA5 10527","250,000+","***",
"860Z200US10528","ZCTA5 10528","154416","12161",
"860Z200US10530","ZCTA5 10530","121722","18208",
"860Z200US10532","ZCTA5 10532","141157","22180",
"860Z200US10533","ZCTA5 10533","174038","26090",
"860Z200US10535","ZCTA5 10535","66189","61327",
"860Z200US10536","ZCTA5 10536","250,000+","***",
"860Z200US10537","ZCTA5 10537","132117","21957",
"860Z200US10538","ZCTA5 10538","207969","47501",
"860Z200US10540","ZCTA5 10540","-","**",
"860Z200US10541","ZCTA5 10541","138617","7899",
"860Z200US10542","ZCTA5 10542","-","**",
"860Z200US10543","ZCTA5 10543","126417","23692",
"860Z200US10545","ZCTA5 10545","-","**",
"860Z200US10546","ZCTA5 10546","206750","53169",
"860Z200US10547","ZCTA5 10547","162605","28925",
"860Z200US10548","ZCTA5 10548","142273","24796",
"860Z200US10549","ZCTA5 10549","133988","29844",
"860Z200US10550","ZCTA5 10550","60701","7511",
"860Z200US10552","ZCTA5 10552","96717","12426",
"860Z200US10553","ZCTA5 10553","84478","13427",
"860Z200US10560","ZCTA5 10560","193906","29441",
"860Z200US10562","ZCTA5 10562","115697","6986",
"860Z200US10566","ZCTA5 10566","85954","5129",
"860Z200US10567","ZCTA5 10567","144194","11793",
"860Z200US10570","ZCTA5 10570","183833","29627",
"860Z200US10573","ZCTA5 10573","105686","6519",
"860Z200US10576","ZCTA5 10576","250,000+","***",
"860Z200US10577","ZCTA5 10577","250,000+","***",
"860Z200US10578","ZCTA5 10578","250,000+","***",
"860Z200US10579","ZCTA5 10579","132500","20313",
"860Z200US10580","ZCTA5 10580","250,000+","***",
"860Z200US10583","ZCTA5 10583","250,000+","***",
"860Z200US10588","ZCTA5 10588","178977","77191",
"860Z200US10589","ZCTA5 10589","129214","11465",
"860Z200US10590","ZCTA5 10590","211734","20711",
"860Z200US10591","ZCTA5 10591","104984","6908",
"860Z200US10594","ZCTA5 10594","163542","29086",
"860Z200US10595","ZCTA5 10595","123438","29546",
"860Z200US10596","ZCTA5 10596","98091","34610",
"860Z200US10597","ZCTA5 10597","244853","61766",
"860Z200US10598","ZCTA5 10598","173573","16609",
"860Z200US10601","ZCTA5 10601","85859","16178",
"860Z200US10603","ZCTA5 10603","121026","22423",
"860Z200US10604","ZCTA5 10604","117014","19120",
"860Z200US10605","ZCTA5 10605","148982","9553",
"860Z200US10606","ZCTA5 10606","112270","10205",
"860Z200US10607","ZCTA5 10607","168603","24701",
"860Z200US10701","ZCTA5 10701","64776","4292",
"860Z200US10703","ZCTA5 10703","89773","15933",
"860Z200US10704","ZCTA5 10704","106786","8102",
"860Z200US10705","ZCTA5 10705","67918","4963",
"860Z200US10706","ZCTA5 10706","190833","31842",
"860Z200US10707","ZCTA5 10707","130957","30564",
"860Z200US10708","ZCTA5 10708","126343","18698",
"860Z200US10709","ZCTA5 10709","170417","28998",
"860Z200US10710","ZCTA5 10710","108845","8487",
"860Z200US10801","ZCTA5 10801","85573","3407",
"860Z200US10803","ZCTA5 10803","215208","21904",
"860Z200US10804","ZCTA5 10804","250,000+","***",
"860Z200US10805","ZCTA5 10805","102109","16031",
"860Z200US10901","ZCTA5 10901","108041","14756",
"860Z200US10910","ZCTA5 10910","-","**",
"860Z200US10911","ZCTA5 10911","-","**",
"860Z200US10913","ZCTA5 10913","175357","38159",
"860Z200US10914","ZCTA5 10914","160132","155473",
"860Z200US10915","ZCTA5 10915","-","**",
"860Z200US10916","ZCTA5 10916","135556","32991",
"860Z200US10917","ZCTA5 10917","121944","26560",
"860Z200US10918","ZCTA5 10918","140550","33289",
"860Z200US10919","ZCTA5 10919","108859","9993",
"860Z200US10920","ZCTA5 10920","145567","8373",
"860Z200US10921","ZCTA5 10921","115221","16290",
"860Z200US10922","ZCTA5 10922","123406","48860",
"860Z200US10923","ZCTA5 10923","100469","32154",
"860Z200US10924","ZCTA5 10924","110938","22010",
"860Z200US10925","ZCTA5 10925","80321","15695",
"860Z200US10926","ZCTA5 10926","94279","20500",
"860Z200US10927","ZCTA5 10927","75167","9972",
"860Z200US10928","ZCTA5 10928","102347","14531",
"860Z200US10930","ZCTA5 10930","120098","42572",
"860Z200US10931","ZCTA5 10931","83365","19561",
"860Z200US10932","ZCTA5 10932","-","**",
"860Z200US10933","ZCTA5 10933","-","**",
"860Z200US10940","ZCTA5 10940","87080","7262",
"860Z200US10941","ZCTA5 10941","99238","9345",
"860Z200US10950","ZCTA5 10950","78931","5095",
"860Z200US10952","ZCTA5 10952","64332","11788",
"860Z200US10953","ZCTA5 10953","-","**",
"860Z200US10954","ZCTA5 10954","116332","11990",
"860Z200US10956","ZCTA5 10956","177952","15876",
"860Z200US10958","ZCTA5 10958","147898","21218",
"860Z200US10960","ZCTA5 10960","125789","19850",
"860Z200US10962","ZCTA5 10962","148500","53295",
"860Z200US10963","ZCTA5 10963","82989","23683",
"860Z200US10964","ZCTA5 10964","187396","86466",
"860Z200US10965","ZCTA5 10965","132660","11844",
"860Z200US10968","ZCTA5 10968","145000","31848",
"860Z200US10969","ZCTA5 10969","126875","59677",
"860Z200US10970","ZCTA5 10970","120186","25807",
"860Z200US10973","ZCTA5 10973","117167","40837",
"860Z200US10974","ZCTA5 10974","117596","28884",
"860Z200US10975","ZCTA5 10975","81250","76740",
"860Z200US10976","ZCTA5 10976","85893","63053",
"860Z200US10977","ZCTA5 10977","74451","6711",
"860Z200US10979","ZCTA5 10979","-","**",
"860Z200US10980","ZCTA5 10980","126284","15755",
"860Z200US10983","ZCTA5 10983","160170","33644",
"860Z200US10984","ZCTA5 10984","121250","24857",
"860Z200US10985","ZCTA5 10985","-","**",
"860Z200US10986","ZCTA5 10986","-","**",
"860Z200US10987","ZCTA5 10987","152031","48462",
"860Z200US10988","ZCTA5 10988","117321","33397",
"860Z200US10989","ZCTA5 10989","134267","17770",
